numMazes: 6
mazeSize: 10

Maze1
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,1,1,1,2
1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,0

Maze2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,1,1,1,1,2,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,0


Maze3
0,1,1,1,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1


Maze4
1,1,1,2,1,1,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,0,0,0

Maze5
0,0,1,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,1,0
1,1,1,2,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0

Maze6
0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,1
1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1
1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0
1,0,1,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0
0,0,1,1,1,1,1,1,1,1
